tick,moisture,sunlight,temperature,soil_health,event_marker
231,8.5,88.0,30.0,47.9,none
232,8.3,86.5,29.6,47.9,none
233,8.1,87.1,30.1,47.2,none
234,8.0,86.4,29.2,48.3,none
235,7.8,84.1,29.0,47.7,none
236,7.5,87.8,30.3,46.9,none
237,7.3,87.2,28.6,49.2,none
238,7.1,88.8,29.8,47.8,none
239,6.9,88.5,28.8,49.1,none
240,6.7,85.6,29.4,47.3,none
241,6.5,88.0,29.5,47.7,none
242,6.3,84.3,28.8,47.6,none
243,6.1,88.2,29.4,47.8,none
244,6.0,88.0,28.7,48.8,none
245,5.8,84.1,30.3,45.1,none
246,5.6,87.3,28.7,48.3,none
247,5.4,88.6,29.5,47.5,none
248,5.2,86.5,29.7,46.5,none
249,5.0,85.7,28.9,47.4,none
250,4.8,90.3,29.6,47.6,none
251,4.6,86.8,28.7,47.9,none
252,4.4,84.8,29.9,45.3,none
253,4.2,90.0,28.7,48.6,none
254,4.0,90.6,29.1,48.1,none
255,3.8,88.5,29.6,46.8,none
256,3.7,88.7,29.1,47.5,none
257,3.5,86.3,28.8,47.1,none
258,3.2,85.7,30.2,44.7,none
259,3.0,90.8,29.3,47.5,none
260,2.8,86.2,29.0,46.5,none
261,2.6,86.7,29.1,46.4,none
262,2.4,88.2,28.8,47.2,none
263,2.2,85.9,29.8,44.9,none
264,2.0,89.3,29.7,46.0,none
265,1.8,90.0,30.0,45.7,none
266,1.6,87.5,30.1,44.8,none
267,1.4,90.6,30.1,45.6,none
268,1.2,91.8,29.6,46.6,none
269,1.0,87.2,29.9,44.6,none
270,0.8,88.0,30.3,44.2,none
271,0.6,91.1,29.9,45.8,none
272,0.4,90.8,30.2,45.1,none
273,0.2,91.4,30.9,44.2,none
274,0.0,91.3,29.1,46.7,none
275,0.0,89.2,29.8,45.1,none
276,0.0,90.9,30.7,44.2,none
277,0.0,92.3,30.9,44.4,none
278,0.0,88.7,30.3,44.1,none
279,0.0,88.2,29.5,45.1,none
280,0.0,90.8,29.5,46.0,none
281,0.0,87.6,29.3,45.3,none
282,0.0,88.1,30.8,43.3,none
283,0.0,89.1,29.3,45.8,none
284,0.0,91.7,30.5,44.8,none
285,0.0,88.3,30.7,43.5,none
286,0.0,90.3,30.5,44.4,none
287,0.0,88.2,30.4,43.9,none
288,0.0,87.8,29.6,44.9,none
289,0.0,87.8,30.6,43.4,none
290,0.0,90.9,30.3,44.8,none
291,0.0,87.7,29.3,45.4,none
292,0.0,89.4,30.0,44.9,none
293,0.0,91.2,30.7,44.3,none
294,0.0,88.4,29.1,45.8,none
295,0.0,92.0,29.2,46.8,none
296,0.0,92.8,29.9,45.9,none
297,0.0,89.9,30.5,44.3,none
298,0.0,88.6,29.4,45.4,none
299,0.0,87.9,30.9,43.1,none
300,95.0,89.4,29.5,83.5,watered
301,94.8,91.8,29.1,84.9,none
302,94.5,88.5,30.1,82.2,none
303,94.3,89.3,30.4,81.9,none
304,94.1,92.1,29.9,83.4,none
305,93.9,88.1,30.9,80.6,none
306,93.7,87.6,30.8,80.6,none
307,93.5,92.1,30.6,82.2,none
308,93.3,92.7,30.1,83.0,none
309,93.2,88.0,30.3,81.3,none
310,93.0,89.0,30.8,80.8,none
311,92.8,88.3,29.2,82.8,none
312,92.6,88.5,30.9,80.3,none
313,92.4,92.5,29.2,83.9,none
314,92.3,88.0,29.0,82.8,none
315,92.0,91.8,30.4,81.7,none
316,91.8,88.2,30.9,79.9,none
317,91.6,91.5,30.5,81.4,none
318,91.4,92.7,29.5,83.1,none
319,91.2,91.5,29.8,82.3,none
320,91.0,87.2,29.6,81.2,none
321,90.9,88.8,30.3,80.6,none
322,90.7,91.8,29.9,82.0,none
323,90.4,91.1,29.5,82.3,none
324,90.3,87.7,30.8,79.2,none
325,90.1,89.8,29.8,81.3,none
326,89.9,89.4,30.4,80.2,none
327,89.7,86.8,29.9,80.1,none
328,89.5,87.9,29.5,80.9,none
329,89.4,89.4,30.1,80.3,none
330,89.1,92.0,30.6,80.3,none
331,89.0,87.0,30.8,78.5,none
332,88.8,90.3,29.5,81.3,none
333,88.6,90.8,29.5,81.4,none
334,88.4,88.1,30.0,79.8,none
335,88.2,86.0,29.0,80.5,none
336,88.0,88.6,30.2,79.4,none
337,87.8,89.4,30.0,80.0,none
338,87.6,86.2,29.0,80.4,none
339,87.5,86.2,28.8,80.7,none
340,87.3,88.3,30.3,79.0,none
341,87.1,89.4,30.4,79.0,none
342,86.9,88.5,30.3,78.9,none
343,86.7,90.2,30.7,78.7,none
344,86.5,88.0,29.7,79.4,none
345,86.3,88.4,29.2,80.2,none
346,86.2,85.6,29.2,79.3,none
347,86.0,90.4,29.7,80.0,none
348,85.8,85.6,29.9,78.1,none
349,85.6,85.8,30.4,77.4,none
350,85.4,87.7,29.1,79.8,none
351,85.2,86.7,29.9,78.2,none
352,85.0,84.8,29.3,78.5,none
353,84.7,87.4,30.2,77.9,none
354,84.5,88.7,29.3,79.5,none
355,84.4,86.4,29.7,78.1,none
356,84.2,89.0,30.0,78.3,none
357,84.0,88.3,29.0,79.5,none
358,83.8,88.1,29.9,78.0,none
359,83.6,84.6,29.5,77.5,none
360,83.4,83.7,29.0,77.9,none
361,83.2,87.7,29.7,78.0,none
362,83.0,83.5,28.4,78.6,none
363,82.9,84.3,29.6,77.1,none
364,82.7,86.0,29.6,77.5,none
365,82.4,83.5,29.7,76.5,none
366,82.2,83.2,29.0,77.4,none
367,82.0,87.4,28.9,78.7,none
368,81.8,88.5,29.2,78.4,none
369,81.6,85.9,29.5,77.1,none
370,81.4,82.6,29.8,75.7,none
371,81.2,87.4,28.7,78.7,none
372,81.0,86.6,29.6,77.0,none
373,80.8,85.5,28.4,78.3,none
374,80.6,86.4,28.8,77.9,none
375,80.4,85.2,28.4,78.1,none
376,80.3,83.9,29.3,76.3,none
377,80.0,82.0,29.8,75.0,none
378,79.9,82.6,29.1,76.0,none
379,79.6,85.9,29.8,76.0,none
380,79.5,84.7,28.8,77.0,none
381,79.3,84.7,28.6,77.3,none
382,79.0,84.8,29.0,76.6,none
383,78.8,85.5,29.1,76.6,none
384,78.6,81.7,27.9,77.1,none
385,78.4,83.5,29.5,75.1,none
386,78.2,80.3,28.9,75.0,none
387,77.9,82.1,28.6,76.0,none
388,77.7,81.8,28.5,75.9,none
389,77.5,82.8,28.1,76.7,none
390,77.3,83.4,28.1,76.7,none
391,77.1,81.1,28.2,75.9,none
392,76.9,84.9,29.0,75.7,none
393,76.8,83.6,29.0,75.3,none
394,76.6,82.1,27.7,76.7,none
395,76.4,83.9,29.5,74.5,none
396,76.2,81.7,28.4,75.4,none
397,75.9,83.6,28.8,75.2,none
398,75.8,82.8,29.2,74.3,none
399,75.6,79.0,28.5,74.2,none
400,75.4,83.5,28.6,75.4,none
401,75.2,79.2,29.0,73.3,none
402,74.9,80.9,28.3,74.7,none
403,74.8,82.5,28.5,74.8,none
404,74.5,77.8,27.9,74.2,none
405,74.3,78.2,27.8,74.5,none
406,74.1,81.1,27.3,76.1,none
407,73.8,80.7,27.4,75.7,none
408,73.7,78.8,28.8,72.9,none
409,73.5,78.8,27.4,75.0,none
410,73.2,80.8,28.9,73.2,none
411,73.1,80.3,27.9,74.4,none
412,72.9,76.0,28.0,72.9,none
413,72.7,77.5,28.5,72.6,none
414,72.4,77.9,27.6,74.0,none
415,72.2,79.9,28.5,73.2,none
416,72.0,75.4,27.7,72.9,none
417,71.8,78.4,28.5,72.6,none
418,71.6,75.3,27.6,72.9,none
419,71.4,74.6,27.6,72.5,none
420,71.2,76.1,26.8,74.0,none
421,70.9,78.5,28.2,72.6,none
422,70.8,75.3,27.7,72.3,none
423,70.5,77.6,27.4,73.3,none
424,70.3,78.7,26.8,74.5,none
425,70.1,76.9,28.2,71.9,none
426,69.9,75.8,27.0,73.2,none
427,69.7,77.7,26.6,74.3,none
428,69.4,76.1,27.7,72.1,none
429,69.2,73.6,26.9,72.4,none
430,69.0,75.9,26.4,73.8,none
431,68.8,71.6,28.3,69.6,none
432,68.6,74.6,28.2,70.5,none
433,68.4,72.2,28.1,69.8,none
434,68.2,72.7,26.3,72.6,none
435,68.0,73.7,27.4,71.3,none
436,67.7,70.3,27.1,70.5,none
437,67.6,73.5,27.4,71.0,none
438,67.4,72.1,26.0,72.5,none
439,67.2,74.9,27.8,70.6,none
440,67.1,73.1,26.3,72.3,none
441,66.9,70.6,27.4,69.8,none
442,66.6,69.2,26.0,71.5,none
443,66.5,68.7,27.1,69.6,none
444,66.3,71.7,27.2,70.3,none
445,66.1,70.0,27.2,69.6,none
446,65.9,71.0,26.6,70.8,none
447,65.7,68.7,26.2,70.6,none
448,65.5,72.1,26.0,71.9,none
449,65.3,67.5,25.8,70.7,none
450,65.1,66.9,35.0,56.6,heat_spike
451,65.0,68.6,26.0,70.6,none
452,64.7,67.4,25.5,70.8,none
453,64.5,71.0,25.5,71.8,none
454,64.3,68.7,25.6,70.9,none
455,64.1,67.7,26.3,69.6,none
456,64.0,66.0,26.8,68.1,none
457,63.8,66.9,25.7,70.1,none
458,63.5,69.1,25.7,70.6,none
459,63.3,68.3,25.5,70.5,none
460,63.1,68.4,25.4,70.7,none
461,62.9,68.0,26.2,69.2,none
462,62.7,68.5,26.6,68.7,none
463,62.4,63.7,26.0,68.0,none
464,62.2,65.5,26.4,67.9,none
465,61.9,67.9,26.7,68.0,none
466,61.7,63.6,26.5,67.1,none
467,61.5,63.7,26.2,67.4,none
468,61.3,65.4,25.1,69.5,none
469,61.1,64.5,25.1,69.2,none
470,60.9,61.9,24.8,68.7,none
471,60.7,62.9,26.5,66.4,none
472,60.4,61.8,24.7,68.7,none
473,60.2,64.1,24.5,69.5,none
474,59.9,60.3,25.5,66.9,none
475,59.8,65.4,25.7,67.9,none
476,59.6,65.2,25.7,67.8,none
477,59.4,64.1,25.4,67.9,none
478,59.3,63.2,25.5,67.5,none
479,59.1,58.8,25.0,66.7,none
480,58.9,58.4,24.4,67.4,none
481,58.7,59.4,25.3,66.4,none
482,58.4,58.6,25.4,65.8,none
483,58.2,59.1,25.1,66.3,none
484,58.0,61.4,24.0,68.6,none
485,57.8,57.7,23.8,67.7,none
486,57.6,58.6,24.6,66.7,none
487,57.5,60.4,25.0,66.6,none
488,57.3,58.4,23.8,67.7,none
489,57.2,60.2,24.6,67.0,none
490,56.9,58.5,23.8,67.7,none
491,56.7,59.0,25.3,65.5,none
492,56.5,56.1,25.2,64.6,none
493,56.3,56.0,24.1,66.2,none
494,56.1,56.8,23.6,67.1,none
495,55.9,55.5,24.9,64.7,none
496,55.7,53.3,24.3,64.9,none
497,55.4,53.5,23.4,66.2,none
498,55.2,52.6,24.5,64.1,none
499,55.0,56.7,24.8,64.8,none
500,54.8,53.8,23.4,65.9,none
501,54.6,53.5,24.4,64.3,none
502,54.4,55.8,24.4,64.9,none
503,54.2,51.8,23.0,65.7,none
504,53.9,54.5,22.8,66.7,none
505,53.7,54.2,24.2,64.5,none
506,53.6,55.9,22.9,66.9,none
507,53.4,53.6,23.0,65.9,none
508,53.1,54.9,22.8,66.6,none
509,52.9,53.4,23.7,64.6,none
510,52.7,53.3,24.3,63.7,none
511,52.5,50.3,23.6,63.7,none
512,52.3,50.2,24.0,62.9,none
513,52.1,48.8,23.0,64.0,none
514,51.9,50.3,24.1,62.7,none
515,51.7,52.5,23.6,64.1,none
516,51.6,52.8,23.1,64.7,none
517,51.3,52.1,23.1,64.5,none
518,51.1,49.5,23.5,63.0,none
519,50.9,46.8,23.7,61.9,none
520,50.7,46.2,23.4,62.1,none
521,50.6,49.4,22.3,64.7,none
522,50.4,48.9,22.5,64.0,none
523,50.2,44.5,23.1,61.7,none
524,50.0,45.0,23.1,61.8,none
525,49.8,46.5,22.5,63.0,none
526,49.5,44.3,22.6,62.2,none
527,49.3,45.3,23.2,61.6,none
528,49.2,47.9,23.3,62.1,none
529,49.0,46.8,22.4,63.0,none
530,48.8,45.7,23.0,61.7,none
531,48.6,43.8,22.9,61.2,none
532,48.4,45.4,23.1,61.3,none
533,48.3,44.8,21.1,61.4,none
534,48.1,46.6,21.9,63.0,none
535,47.9,42.4,21.5,61.1,none
536,47.7,41.5,22.9,60.1,none
537,47.6,45.3,22.2,62.3,none
538,47.4,42.3,21.5,61.0,none
539,47.2,39.3,22.6,59.8,none
540,47.0,43.4,21.7,61.4,none
541,46.8,42.0,22.1,61.2,none
542,46.6,39.6,21.7,60.1,none
543,46.4,40.9,20.8,59.1,none
544,46.3,38.2,22.4,59.4,none
545,46.1,41.3,21.0,59.3,none
546,45.9,39.9,21.9,60.2,none
547,45.7,37.0,21.6,58.8,none
548,45.4,40.5,20.5,58.1,none
549,45.2,39.1,21.2,58.6,none
550,45.0,37.6,21.5,58.6,none
551,44.9,39.9,21.6,59.3,none
552,44.6,39.3,20.4,57.2,none
553,44.4,37.1,21.5,58.1,none
554,44.3,39.5,20.7,57.7,none
555,44.0,33.4,21.5,56.9,none
556,43.9,35.3,20.9,56.5,none
557,43.7,33.6,20.0,54.5,none
558,43.5,34.4,20.3,55.2,none
559,43.3,34.1,19.9,54.4,none
560,43.1,32.5,21.1,55.6,none
561,43.0,37.0,20.1,55.5,none
562,42.8,32.3,19.6,53.2,none
563,42.6,32.5,20.2,54.1,none
564,42.4,35.4,20.8,55.8,none
565,42.2,34.1,19.4,53.2,none
566,42.0,30.3,19.9,52.7,none
567,41.8,33.1,21.0,55.1,none
568,41.6,33.6,19.4,52.9,none
569,41.4,29.6,19.1,51.0,none
570,41.2,31.0,20.2,53.0,none
571,41.0,32.6,20.4,53.8,none
572,40.8,32.2,20.5,53.8,none
573,40.6,29.1,19.3,50.9,none
574,40.4,26.8,19.5,50.4,none
575,40.2,29.7,19.0,50.5,none
576,40.1,29.2,20.2,52.2,none
577,39.9,28.1,20.0,51.4,none
578,39.6,26.3,19.9,50.6,none
579,39.4,29.9,18.9,50.0,none
580,39.3,30.3,20.2,52.1,none
581,39.0,28.3,18.8,49.4,none
582,38.8,24.7,18.7,48.0,none
583,38.6,25.8,19.9,50.0,none
584,38.4,26.7,18.5,48.2,none
585,38.2,26.4,18.6,48.1,none
586,38.0,26.2,19.8,49.7,none
587,37.8,27.0,17.9,47.1,none
588,37.6,25.0,19.5,48.8,none
589,37.4,23.8,17.9,45.9,none
590,37.1,21.1,19.1,46.8,none
591,37.0,24.3,19.2,47.9,none
592,36.8,20.2,18.5,45.6,none
593,36.5,21.6,19.3,47.1,none
594,36.3,24.6,17.6,45.4,none
595,36.1,19.5,18.6,45.2,none
596,36.0,24.3,17.3,44.6,none
597,35.8,19.8,17.8,43.9,none
598,35.6,21.7,17.6,44.1,none
599,35.4,19.9,18.1,44.3,none
